SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Carbon dioxide	Carbon dioxide_1	Carbon dioxide_2	Carbon dioxide_3	Carbon dioxide_4	"Carbon dioxide, partial pressure"	"Carbon dioxide, partial pressure_1"	"Carbon dioxide, partial pressure_2"	"Carbon dioxide, partial pressure_3"	"Carbon dioxide, partial pressure_4"	Fugacity of carbon dioxide in seawater	Fugacity of carbon dioxide in seawater_1	Fugacity of carbon dioxide in seawater_2	Fugacity of carbon dioxide in seawater_3	Fugacity of carbon dioxide in seawater_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_N000000625	SAMEA2657029	ERS490687	TARA_078	TARA_20101104T1424Z_078_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_078_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20101104T1424Z_078_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000000625	tara_20101104t1024z_078_event_cast	8.8022	P00DT03H59M	1	8.101368	8.101368	8.101368	8.101368	8.101368	11.348365	11.348365	11.348365	11.348365	11.348365	352.602797	352.602797	352.602797	352.602797	352.602797	351.420547	351.420547	351.420547	351.420547	351.420547	0	0	0	0	0	0.0027	0.0027	0.0027	0.0027	0.0027	0.0053	0.0053	0.0054	0.0055	0.0055	0	0	0	0	0	0	0	0	0	0	3.00E-04	3.00E-04	3.00E-04	3.00E-04	3.00E-04
TARA_A100001335	SAMEA2591131	ERS478049	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	5	20	TARA_030_DCM_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(500mL-or-15min)_W5-20_A100001335	tara_20091204t2030z_028_event_cast	43.8793	P10DT18H56M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
TARA_A100001332	SAMEA2591130	ERS478048	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	0.8	5	TARA_030_DCM_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(100L-or-15min)_W0.8-5_A100001332	tara_20091204t2030z_028_event_cast	43.8793	P10DT18H56M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
TARA_A100001645	SAMEA2624977	ERS478039	TARA_030	TARA_20091215T1305Z_030_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	68	72	20	180	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001645	tara_20091204t2030z_028_event_cast	43.0627	P10DT16H38M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
TARA_A100001644	SAMEA2625587	ERS478038	TARA_030	TARA_20091215T1305Z_030_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	68	72	20	180	TARA_030_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1305Z_030_EVENT_NET_DCM_(70m)_SEQ-(500mL-or-15min)_N20-180_A100001644	tara_20091204t2030z_028_event_cast	43.0627	P10DT16H38M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0227	0.0227	0.0227	0.0227	0.0227	0.0036	0.0036	0.00395	0.0043	0.0043	0	0	0.00045	9.00E-04	9.00E-04	0	0	0	0	0	0	0	3.00E-04	6.00E-04	6.00E-04
TARA_A100001649	SAMEA2624978	ERS478037	TARA_030	TARA_20091215T1244Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001649	tara_20091204t2030z_028_event_cast	42.9328	P10DT16H17M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_A100001648	SAMEA2624980	ERS478036	TARA_030	TARA_20091215T1244Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_030_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20091215T1244Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_A100001648	tara_20091204t2030z_028_event_cast	42.9328	P10DT16H17M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_A100001647	SAMEA2624983	ERS478034	TARA_030	TARA_20091215T1113Z_030_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_030_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20091215T1113Z_030_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_A100001647	tara_20091204t2030z_028_event_cast	42.3998	P10DT14H46M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_A100001641	SAMEA2591118	ERS478027	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_030_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_A100001641	tara_20091204t2030z_028_event_cast	42.1215	P10DT14H14M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_A100001639	SAMEA2591117	ERS478026	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.8	5	TARA_030_SRF_0.8-5	SEQ-(100L-or-15min)_W0.8-5	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(100L-or-15min)_W0.8-5_A100001639	tara_20091204t2030z_028_event_cast	42.1215	P10DT14H14M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0106	0.0106	0.0106	0.0106	0.0106	0.005	0.005	0.005	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
