Sample_event_ID	ISO_DateTime	lat	lon	cruise_ID	cruise_expedition	sampling_event_type	Station_name
AN10_S10_05062010700	05-06-2010T07:00:00	4.88	-51.36	AN10/KN197-08	ANACONDAS	pump	Station 10
AN10_S10_05062010749	05-06-2010T07:49:00	4.88	-51.36	AN10/KN197-08	ANACONDAS	pump	Station 10
AN10_S10_05062010850	05-06-2010T08:50:00	4.88	-51.36	AN10/KN197-08	ANACONDAS	pump	Station 10
AN10_S2_25052010710	25-05-2010T07:10:00	10.29	-54.51	AN10/KN197-08	ANACONDAS	pump	Station 2
AN10_S2_25052010755	25-05-2010T07:55:00	10.29	-54.51	AN10/KN197-08	ANACONDAS	pump	Station 2
AN10_S2_25052010839	25-05-2010T08:39:00	10.29	-54.51	AN10/KN197-08	ANACONDAS	pump	Station 2
AN10_S23_160620101015	16-06-2010T10:15:00	10.68	-54.42	AN10/KN197-08	ANACONDAS	pump	Station 23
AN10_S23_16062010806	16-06-2010T08:06:00	10.68	-54.42	AN10/KN197-08	ANACONDAS	pump	Station 23
AN10_S23_16062010904	16-06-2010T09:04:00	10.68	-54.42	AN10/KN197-08	ANACONDAS	pump	Station 23
AN10_S25_18062010757	18-06-2010T07:57:00	11.31	-56.43	AN10/KN197-08	ANACONDAS	pump	Station 25
AN10_S25_18062010845	18-06-2010T08:45:00	11.31	-56.43	AN10/KN197-08	ANACONDAS	pump	Station 25
AN10_S25_18062010930	18-06-2010T09:30:00	11.31	-56.43	AN10/KN197-08	ANACONDAS	pump	Station 25
AN10_S27_21062010755	21-06-2010T07:55:00	12.41	-52.22	AN10/KN197-08	ANACONDAS	pump	Station 27
AN10_S27_21062010843	21-06-2010T08:43:00	12.41	-52.22	AN10/KN197-08	ANACONDAS	pump	Station 27
AN10_S27_21062010928	21-06-2010T09:28:00	12.41	-52.22	AN10/KN197-08	ANACONDAS	pump	Station 27
AN10_S3_260520101000	26-05-2010T10:00:00	7.29	-53	AN10/KN197-08	ANACONDAS	pump	Station 3
AN10_S3_26052010823	26-05-2010T08:23:00	7.29	-53	AN10/KN197-08	ANACONDAS	pump	Station 3
AN10_S3_26052010910	26-05-2010T09:10:00	7.29	-53	AN10/KN197-08	ANACONDAS	pump	Station 3
ANM11_07-05-2011_0.083883S51.051417W_0.53	07-05-2011T00:00:00	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)
ANM11_07-05-2011_0.083883S51.051417W_0.65	07-05-2011T00:00:00	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)
ANM11_07-05-2011_0.083883S51.051417W_0.5	07-05-2011T00:00:00	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)
ANM11_07-05-2011_0.083883S51.051417W_0.66	07-05-2011T00:00:00	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)
ANM11_07-05-2011_0.083883S51.051417W_0.46	07-05-2011T00:00:00	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)
ANM11_08-05-2011_0.156917S50.622550W_0.7	08-05-2011T00:00:00	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)
ANM11_08-05-2011_0.156917S50.622550W_0.81	08-05-2011T00:00:00	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)
ANM11_08-05-2011_0.156917S50.622550W_0.6	08-05-2011T00:00:00	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)
ANM11_08-05-2011_0.156917S50.622550W_0.67	08-05-2011T00:00:00	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)
ANM11_13-05-2011_1.519367S48.917950W_1.34	13-05-2011T00:00:00	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)
ANM11_13-05-2011_1.519367S48.917950W_1.8	13-05-2011T00:00:00	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)
ANM11_13-05-2011_1.519367S48.917950W_1.3	13-05-2011T00:00:00	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)
ANM11_13-05-2011_1.519367S48.917950W_1.31	13-05-2011T00:00:00	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)
ANM11_19-05-2011_1.919017S55.525717W_0.73	19-05-2011T00:00:00	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)
ANM11_19-05-2011_1.919017S55.525717W_1.06	19-05-2011T00:00:00	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)
ANM11_19-05-2011_1.919017S55.525717W_0.61	19-05-2011T00:00:00	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)
ANM11_19-05-2011_1.919017S55.525717W_1.03	19-05-2011T00:00:00	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)
ANM11_20-05-2011_2.484383S55.007500W_1.6	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)
ANM11_20-05-2011_2.484383S55.007500W_1.72	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)
ANM11_20-05-2011_2.484383S55.007500W_1.49	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_20-05-2011_2.484383S55.007500W_1.59	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_20-05-2011_2.484383S55.007500W_0.675	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_20-05-2011_2.484383S55.007500W_1.42	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_20-05-2011_2.484383S55.007500W_1.52	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_20-05-2011_2.484383S55.007500W_1.57	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)
ANM11_20-05-2011_2.484383S55.007500W_0.73	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)
ANM11_20-05-2011_2.484383S55.007500W_1.4	20-05-2011T00:00:00	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)
AN12J_S4_180720121043	18-07-2012T10:43:00	6.374	-51.398	AT21-04	ANACONDAS	unknown	Station 4
AN12J_S15_240720121230	24-07-2012T12:30:00	0.265	-47.15	AT21-04	ANACONDAS	unknown	Station 15
AN12J_S10_220720121029	22-07-2012T10:29:00	1.338	-49.371	AT21-04	ANACONDAS	unknown	Station 10
AN12J_S11_230720121100	23-07-2012T11:00:00	0.949	-48.674	AT21-04	ANACONDAS	unknown	Station 11
AN12J_S2_150720121055	15-07-2012T10:55:00	10.664	-55.032	AT21-04	ANACONDAS	unknown	Station 2
AN12J_S6_210720120941	21-07-2012T09:41:00	3.506	-50.5	AT21-04	ANACONDAS	unknown	Station 6
AN12J_S10_220720161029	22-07-2016T10:29:00	1.338	-49.371	AT21-04	ANACONDAS	unknown	Station 10
AN12J_S11_230720161100	23-07-2016T11:00:00	0.949	-48.674	AT21-04	ANACONDAS	unknown	Station 11
ANR12_08-06-2012_2.29063S55.00450W_2.98	08-06-2012T00:00:00	-2.29063	-55.0045		ANACONDAS	unknown	Tapajos Depth (TAPD)
ANR12_08-06-2012_2.29063S55.00450W_1.49	08-06-2012T00:00:00	-2.29063	-55.0045		ANACONDAS	unknown	Tapajos Depth (TAPD)
ANR12_08-06-2012_2.29063S55.00450W_3.13	08-06-2012T00:00:00	-2.29063	-55.0045		ANACONDAS	unknown	Tapajos Surface (TAPS)
ANR12_08-06-2012_2.29063S55.00450W_1.57	08-06-2012T00:00:00	-2.29063	-55.0045		ANACONDAS	unknown	Tapajos Surface (TAPS)
ANR12_08-06-2012_2.29063S55.00450W_1.35	08-06-2012T00:00:00	-2.29063	-55.0045		ANACONDAS	unknown	Tapajos Depth (TAPD)
ANR12_08-06-2012_2.29063S55.00450W_1.61	08-06-2012T00:00:00	-2.29063	-55.0045		ANACONDAS	unknown	Tapajos Surface (TAPS)
ANR12_08-05-2012_1.55141S55.31543W_0.80	08-05-2012T00:00:00	-1.55141	-55.31543		ANACONDAS	unknown	Obidos (OB)
